player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100615,Gianluca,Rinaldini,R,19590810.0,ITA,,Q5558152
100616,Andy,Kohlberg,L,19590817.0,USA,178.0,Q4760909
100617,Bud,Schultz,R,19590821.0,USA,193.0,Q4983937
100618,Leif,Shiras,R,19590821.0,USA,183.0,Q2579213
100619,George,Kalovelonis,R,19590823.0,GRE,190.0,Q20668788
100620,Eduardo,Osta,L,19590904.0,ESP,160.0,Q5340720
100621,Larry,Barnett,R,19590904.0,USA,178.0,
100622,Patrizio,Parrini,R,19590905.0,ITA,,Q13513032
100623,Roger,Knapp,L,19590907.0,USA,183.0,Q46998409
100624,Derek,Tarr,L,19590915.0,USA,185.0,Q5262390
100625,Scott,Lipton,L,19590915.0,USA,,Q55081459
100626,Andy,Garcia,R,19590929.0,USA,175.0,
100627,George,Jarck,R,19591010.0,USA,,
100628,Michiel,Schapers,R,19591011.0,NED,201.0,Q1931269
100629,Tiger,Buford,R,19591021.0,USA,,
100630,Gustavo,Guerrero,L,19591022.0,ARG,180.0,Q5621414
100631,Tim,Wilkison,L,19591123.0,USA,180.0,Q176303
100632,Rolando,Vazquez,R,19591127.0,USA,,
100633,Scott,Bondurant,R,19591205.0,USA,,
100634,Larry,Gottfried,R,19591208.0,USA,,Q50413364
100635,Mark,Dickson,R,19591208.0,USA,190.0,Q3294056
100636,Gustavo,Tiberti,R,19591211.0,ARG,175.0,Q5621518
100637,Stefan,Hermann,R,19591213.0,GER,190.0,Q24005570
100638,David,Mustard,L,19591229.0,NZL,180.0,Q22007096
100639,Blaine,Willenborg,R,19600104.0,USA,170.0,Q599540
100640,Stefan,Simonsson,R,19600105.0,SWE,175.0,Q3497896
100641,Jan,Van Langendonck,R,19600110.0,BEL,,Q83617162
100642,Juan Carlos,Yunis,R,19600117.0,ARG,,Q102245319
100643,Remi,Osho,R,19600119.0,NGR,178.0,
100644,Alexander,Zverev,R,19970420.0,GER,198.0,Q13990552
100645,Huub,Van Boeckel,R,19600125.0,NED,190.0,Q2678408
100646,Claudio,Panatta,R,19600202.0,ITA,178.0,Q464779
100647,Kiyotaka,Tachibana,R,19600202.0,JPN,,
100648,Sadiq,Abdullahi,R,19600202.0,NGR,,Q7397954
100649,David,Dowlen,R,19600203.0,USA,178.0,Q1174255
100650,Dirk,Vestweber,R,19600213.0,GER,,
100651,Alejandro,Ganzabal,R,19600216.0,ARG,180.0,Q4714543
100652,Cassio,Motta,R,19600222.0,BRA,180.0,Q1149828
100653,Andres,Gomez,L,19600227.0,ECU,193.0,Q335350
100654,Ray,Disco,R,19600304.0,USA,,
100655,Fritz,Buehning,R,19600305.0,USA,196.0,Q3087926
